product_id,sku,vendor,status,image_full,image_thumb
gid://shopify/Product/15544912871497,AG1018C,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1018C.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1018C-300x300.png
gid://shopify/Product/15544912937033,AG1019B,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1019B.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1019B-300x300.png
gid://shopify/Product/15544912969801,AG1019C,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/08/AG1019C.png,https://www.akwa.co.za/wp-content/uploads/2024/08/AG1019C-300x300.png
gid://shopify/Product/15544913035337,AG1020C,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1020C.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1020C-300x300.png
gid://shopify/Product/15544913100873,AG1030A,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/08/AG1030A.png,https://www.akwa.co.za/wp-content/uploads/2024/08/AG1030A-300x300.png
gid://shopify/Product/15544913199177,AG1045B,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2023/10/AG1045B.png,https://www.akwa.co.za/wp-content/uploads/2023/10/AG1045B-300x300.png
gid://shopify/Product/15544913231945,AG1046B,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2023/10/AG1046B.png,https://www.akwa.co.za/wp-content/uploads/2023/10/AG1046B-300x300.png
gid://shopify/Product/15544913264713,AG1048B,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2023/10/AG1048B.png,https://www.akwa.co.za/wp-content/uploads/2023/10/AG1048B-300x300.png
gid://shopify/Product/15544913789001,AG1092AA,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1092AA.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1092AA-300x300.png
gid://shopify/Product/15544913657929,AG1095A,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1095A.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1095A-300x300.png
gid://shopify/Product/15544913821769,AG1095B,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1095B.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1095B-300x300.png
gid://shopify/Product/15544913297481,AG2004AB,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/08/AG2004AB.png,https://www.akwa.co.za/wp-content/uploads/2024/08/AG2004AB-300x300.png
gid://shopify/Product/15544895995977,AM0001,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AM0001.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AM0001-300x300.png
gid://shopify/Product/15544896094281,AM0002,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AM0002.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AM0002-300x300.png
gid://shopify/Product/15544888393801,AQA0001,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/08/AQA0001.png,https://www.akwa.co.za/wp-content/uploads/2025/08/AQA0001-300x300.png
gid://shopify/Product/15544888655945,AQA0080,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/AQA0080.png,https://www.akwa.co.za/wp-content/uploads/2020/03/AQA0080-300x300.png
gid://shopify/Product/15544888918089,AQA0100,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/AQA0100.png,https://www.akwa.co.za/wp-content/uploads/2020/03/AQA0100-300x300.png
gid://shopify/Product/15544888950857,AQA0120,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/AQA0120.png,https://www.akwa.co.za/wp-content/uploads/2020/03/AQA0120-300x300.png
gid://shopify/Product/15544889245769,AQA0150,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/AQA0150.png,https://www.akwa.co.za/wp-content/uploads/2020/03/AQA0150-300x300.png
gid://shopify/Product/15544889606217,AQD1101,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2023/07/AQD1101.png,https://www.akwa.co.za/wp-content/uploads/2023/07/AQD1101-300x300.png
gid://shopify/Product/15544889868361,AQD1103,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2023/07/AQD1103.png,https://www.akwa.co.za/wp-content/uploads/2023/07/AQD1103-300x300.png
